                                        Data Report
                                                                  File created on:2025-04-07 18:11:08

Model : RC-51H
S/N : EL2410002013
Firmware Version : V2.3
Trip Code : 0000001
Trip Description : Temperature recording.                                                                             
Start Mode : Press Button 
Logging Interval : 0:0:10
Start Delay : 0H0M
Repeat Start : Enable
Timezone : UTC +00:00
Stop Mode : Button Stop + Use Software
Light : Disable
Alarm Logging Interval Shorten : N/A
Mark Time : 
    N/A
First Reading : 2025-04-07 14:51:15
Last Reading : 2025-04-07 15:10:05
Current Readings : 114
Logging Duration : 0D 0H 18M 50S
Maximum : 28.6°C / 30.9%RH
Minimum : 24.5°C / 18.0%RH
Average : 27.9°C / 19.6%RH
Mean Kinetic Temperature (MKT) : 27.9°C
First Alarm(Temperature) : N/A
First Alarm(Humidity) : N/A

No.	Time		°C	%RH
1	2025-04-07 14:51:15	24.5	30.9	
2	2025-04-07 14:51:25	24.9	26.7	
3	2025-04-07 14:51:35	25.4	23.5	
4	2025-04-07 14:51:45	25.7	22.8	
5	2025-04-07 14:51:55	26.0	22.2	
6	2025-04-07 14:52:05	26.2	21.2	
7	2025-04-07 14:52:15	26.2	20.0	
8	2025-04-07 14:52:25	26.3	19.7	
9	2025-04-07 14:52:35	26.4	19.8	
10	2025-04-07 14:52:45	26.5	20.5	
11	2025-04-07 14:52:55	26.6	20.6	
12	2025-04-07 14:53:05	26.8	20.4	
13	2025-04-07 14:53:15	26.9	20.0	
14	2025-04-07 14:53:25	27.0	19.1	
15	2025-04-07 14:53:35	27.1	19.8	
16	2025-04-07 14:53:45	27.2	19.8	
17	2025-04-07 14:53:55	27.4	20.3	
18	2025-04-07 14:54:05	27.5	20.3	
19	2025-04-07 14:54:15	27.6	20.2	
20	2025-04-07 14:54:25	27.7	20.1	
21	2025-04-07 14:54:35	27.8	19.4	
22	2025-04-07 14:54:45	27.8	20.0	
23	2025-04-07 14:54:55	27.9	19.4	
24	2025-04-07 14:55:05	27.9	20.0	
25	2025-04-07 14:55:15	28.0	20.0	
26	2025-04-07 14:55:25	28.0	20.0	
27	2025-04-07 14:55:35	28.1	19.4	
28	2025-04-07 14:55:45	28.2	18.8	
29	2025-04-07 14:55:55	28.1	18.2	
30	2025-04-07 14:56:05	28.1	18.0	
31	2025-04-07 14:56:15	28.1	18.9	
32	2025-04-07 14:56:25	28.1	18.6	
33	2025-04-07 14:56:35	28.2	19.1	
34	2025-04-07 14:56:45	28.2	18.6	
35	2025-04-07 14:56:55	28.2	18.3	
36	2025-04-07 14:57:05	28.3	19.0	
37	2025-04-07 14:57:15	28.3	19.6	
38	2025-04-07 14:57:25	28.4	19.4	
39	2025-04-07 14:57:35	28.3	18.7	
40	2025-04-07 14:57:45	28.4	18.6	
41	2025-04-07 14:57:55	28.4	19.5	
42	2025-04-07 14:58:05	28.5	19.6	
43	2025-04-07 14:58:15	28.5	19.9	
44	2025-04-07 14:58:25	28.5	19.7	
45	2025-04-07 14:58:35	28.6	19.0	
46	2025-04-07 14:58:45	28.6	18.7	
47	2025-04-07 14:58:55	28.6	19.5	
48	2025-04-07 14:59:05	28.6	19.1	
49	2025-04-07 14:59:15	28.6	18.7	
50	2025-04-07 14:59:25	28.6	18.8	
51	2025-04-07 14:59:35	28.6	18.3	
52	2025-04-07 14:59:45	28.5	18.9	
53	2025-04-07 14:59:55	28.4	18.4	
54	2025-04-07 15:00:05	28.4	18.7	
55	2025-04-07 15:00:15	28.5	18.9	
56	2025-04-07 15:00:25	28.5	18.8	
57	2025-04-07 15:00:35	28.5	18.7	
58	2025-04-07 15:00:45	28.5	19.0	
59	2025-04-07 15:00:55	28.5	18.7	
