                                        Data Report
                                                                  File created on:2025-04-07 18:11:08

Model : RC-51H
S/N : EL2410002013
Firmware Version : V2.3
Trip Code : 0000001
Trip Description : Temperature recording.                                                                             
Start Mode : Press Button 
Logging Interval : 0:0:10
Start Delay : 0H0M
Repeat Start : Enable
Timezone : UTC +00:00
Stop Mode : Button Stop + Use Software
Light : Disable
Alarm Logging Interval Shorten : N/A
Mark Time : 
    N/A
First Reading : 2025-04-07 14:51:15
Last Reading : 2025-04-07 15:10:05
Current Readings : 114
Logging Duration : 0D 0H 18M 50S
Maximum : 28.6°C / 30.9%RH
Minimum : 24.5°C / 18.0%RH
Average : 27.9°C / 19.6%RH
Mean Kinetic Temperature (MKT) : 27.9°C
First Alarm(Temperature) : N/A
First Alarm(Humidity) : N/A

No.	Time		°C	%RH
60	2025-04-07 15:01:05	28.5	18.9	
61	2025-04-07 15:01:15	28.4	18.2	
62	2025-04-07 15:01:25	28.4	19.1	
63	2025-04-07 15:01:35	28.4	19.6	
64	2025-04-07 15:01:45	28.3	19.7	
65	2025-04-07 15:01:55	28.2	19.9	
66	2025-04-07 15:02:05	28.2	19.4	
67	2025-04-07 15:02:15	28.2	19.5	
68	2025-04-07 15:02:25	28.2	19.6	
69	2025-04-07 15:02:35	28.2	19.1	
70	2025-04-07 15:02:45	28.1	19.2	
71	2025-04-07 15:02:55	28.1	19.4	
72	2025-04-07 15:03:05	28.1	19.8	
73	2025-04-07 15:03:15	28.1	19.7	
74	2025-04-07 15:03:25	28.1	19.2	
75	2025-04-07 15:03:35	28.1	19.5	
76	2025-04-07 15:03:45	28.1	19.9	
77	2025-04-07 15:03:55	28.1	19.5	
78	2025-04-07 15:04:05	28.1	19.9	
79	2025-04-07 15:04:15	28.1	20.0	
80	2025-04-07 15:04:25	28.1	20.4	
81	2025-04-07 15:04:35	28.2	20.6	
82	2025-04-07 15:04:45	28.1	19.9	
83	2025-04-07 15:04:55	28.0	19.1	
84	2025-04-07 15:05:05	28.0	18.7	
85	2025-04-07 15:05:15	28.0	18.4	
86	2025-04-07 15:05:25	27.9	19.0	
87	2025-04-07 15:05:35	27.9	19.6	
88	2025-04-07 15:05:45	28.0	19.7	
89	2025-04-07 15:05:55	28.0	19.7	
90	2025-04-07 15:06:05	28.1	19.7	
91	2025-04-07 15:06:15	28.1	19.7	
92	2025-04-07 15:06:25	28.2	19.8	
93	2025-04-07 15:06:35	28.3	19.7	
94	2025-04-07 15:06:45	28.3	19.5	
95	2025-04-07 15:06:55	28.3	19.2	
96	2025-04-07 15:07:05	28.4	19.4	
97	2025-04-07 15:07:15	28.2	18.6	
98	2025-04-07 15:07:25	28.2	18.9	
99	2025-04-07 15:07:35	28.2	18.9	
100	2025-04-07 15:07:45	28.2	18.8	
101	2025-04-07 15:07:55	28.2	18.9	
102	2025-04-07 15:08:05	28.2	19.5	
103	2025-04-07 15:08:15	28.2	19.3	
104	2025-04-07 15:08:25	28.3	19.0	
105	2025-04-07 15:08:35	28.2	19.1	
106	2025-04-07 15:08:45	28.3	19.2	
107	2025-04-07 15:08:55	28.3	19.2	
108	2025-04-07 15:09:05	28.0	19.4	
109	2025-04-07 15:09:15	28.1	19.9	
110	2025-04-07 15:09:25	28.1	20.1	
111	2025-04-07 15:09:35	28.2	19.8	
112	2025-04-07 15:09:45	28.2	19.7	
113	2025-04-07 15:09:55	28.2	19.2	
114	2025-04-07 15:10:05	28.0	19.0	

