                                        Data Report
                                                                  File created on:2025-04-07 18:10:14

Model : RC-51H
S/N : EL2410002042
Firmware Version : V2.3
Trip Code : 0000001
Trip Description : Temperature recording.                                                                             
Start Mode : Press Button 
Logging Interval : 0:0:10
Start Delay : 0H0M
Repeat Start : Enable
Timezone : UTC +00:00
Stop Mode : Button Stop + Use Software
Light : Disable
Alarm Logging Interval Shorten : N/A
Mark Time : 
    N/A
First Reading : 2025-04-07 14:52:02
Last Reading : 2025-04-07 15:10:32
Current Readings : 112
Logging Duration : 0D 0H 18M 30S
Maximum : 29.3°C / 36.0%RH
Minimum : 23.8°C / 17.8%RH
Average : 27.4°C / 20.2%RH
Mean Kinetic Temperature (MKT) : 27.5°C
First Alarm(Temperature) : N/A
First Alarm(Humidity) : N/A

No.	Time		°C	%RH
61	2025-04-07 15:02:02	28.1	19.6	
62	2025-04-07 15:02:12	28.1	18.7	
63	2025-04-07 15:02:22	28.1	18.4	
64	2025-04-07 15:02:32	28.1	18.9	
65	2025-04-07 15:02:42	28.1	18.9	
66	2025-04-07 15:02:52	28.0	19.1	
67	2025-04-07 15:03:02	28.1	19.9	
68	2025-04-07 15:03:12	28.2	19.8	
69	2025-04-07 15:03:22	28.3	20.4	
70	2025-04-07 15:03:32	28.3	20.2	
71	2025-04-07 15:03:42	28.3	19.5	
72	2025-04-07 15:03:52	28.4	19.4	
73	2025-04-07 15:04:02	28.5	19.8	
74	2025-04-07 15:04:12	28.5	19.2	
75	2025-04-07 15:04:22	28.5	19.3	
76	2025-04-07 15:04:32	28.4	19.5	
77	2025-04-07 15:04:42	28.4	17.8	
78	2025-04-07 15:04:52	28.2	18.4	
79	2025-04-07 15:05:02	28.2	19.6	
80	2025-04-07 15:05:12	28.1	18.4	
81	2025-04-07 15:05:22	28.1	18.4	
82	2025-04-07 15:05:32	28.1	18.3	
83	2025-04-07 15:05:42	28.2	18.7	
84	2025-04-07 15:05:52	28.2	19.0	
85	2025-04-07 15:06:02	28.2	19.1	
86	2025-04-07 15:06:12	28.3	19.4	
87	2025-04-07 15:06:22	28.4	19.6	
88	2025-04-07 15:06:32	28.3	19.0	
89	2025-04-07 15:06:42	28.4	18.8	
90	2025-04-07 15:06:52	28.4	19.5	
91	2025-04-07 15:07:02	28.5	19.1	
92	2025-04-07 15:07:12	28.5	19.1	
93	2025-04-07 15:07:22	28.6	18.8	
94	2025-04-07 15:07:32	28.6	19.4	
95	2025-04-07 15:07:42	28.7	20.2	
96	2025-04-07 15:07:52	28.7	18.7	
97	2025-04-07 15:08:02	28.8	18.6	
98	2025-04-07 15:08:12	28.8	18.7	
99	2025-04-07 15:08:22	28.8	19.5	
100	2025-04-07 15:08:32	28.8	19.7	
101	2025-04-07 15:08:42	28.9	20.6	
102	2025-04-07 15:08:52	28.9	19.9	
103	2025-04-07 15:09:02	29.0	18.9	
104	2025-04-07 15:09:12	29.1	18.6	
105	2025-04-07 15:09:22	29.1	18.8	
106	2025-04-07 15:09:32	29.2	18.4	
107	2025-04-07 15:09:42	29.2	19.4	
108	2025-04-07 15:09:52	29.3	18.3	
109	2025-04-07 15:10:02	29.3	18.2	
110	2025-04-07 15:10:12	29.3	18.0	
111	2025-04-07 15:10:22	29.2	18.7	
112	2025-04-07 15:10:32	29.2	18.5	

