                                        Data Report
                                                                  File created on:2025-04-07 18:10:14

Model : RC-51H
S/N : EL2410002042
Firmware Version : V2.3
Trip Code : 0000001
Trip Description : Temperature recording.                                                                             
Start Mode : Press Button 
Logging Interval : 0:0:10
Start Delay : 0H0M
Repeat Start : Enable
Timezone : UTC +00:00
Stop Mode : Button Stop + Use Software
Light : Disable
Alarm Logging Interval Shorten : N/A
Mark Time : 
    N/A
First Reading : 2025-04-07 14:52:02
Last Reading : 2025-04-07 15:10:32
Current Readings : 112
Logging Duration : 0D 0H 18M 30S
Maximum : 29.3°C / 36.0%RH
Minimum : 23.8°C / 17.8%RH
Average : 27.4°C / 20.2%RH
Mean Kinetic Temperature (MKT) : 27.5°C
First Alarm(Temperature) : N/A
First Alarm(Humidity) : N/A

No.	Time		°C	%RH
1	2025-04-07 14:52:02	23.8	36.0	
2	2025-04-07 14:52:12	24.1	27.6	
3	2025-04-07 14:52:22	24.3	25.1	
4	2025-04-07 14:52:32	24.5	24.6	
5	2025-04-07 14:52:42	24.6	24.1	
6	2025-04-07 14:52:52	24.8	23.7	
7	2025-04-07 14:53:02	25.0	23.6	
8	2025-04-07 14:53:12	25.1	22.7	
9	2025-04-07 14:53:22	25.3	22.0	
10	2025-04-07 14:53:32	25.4	21.7	
11	2025-04-07 14:53:42	25.5	22.7	
12	2025-04-07 14:53:52	25.6	23.4	
13	2025-04-07 14:54:02	25.7	22.0	
14	2025-04-07 14:54:12	25.8	21.8	
15	2025-04-07 14:54:22	25.9	21.6	
16	2025-04-07 14:54:32	25.9	21.5	
17	2025-04-07 14:54:42	26.0	22.9	
18	2025-04-07 14:54:52	26.1	21.1	
19	2025-04-07 14:55:02	26.1	20.7	
20	2025-04-07 14:55:12	26.2	21.1	
21	2025-04-07 14:55:22	26.2	21.2	
22	2025-04-07 14:55:32	26.3	22.5	
23	2025-04-07 14:55:42	26.4	21.4	
24	2025-04-07 14:55:52	26.5	20.9	
25	2025-04-07 14:56:02	26.5	20.7	
26	2025-04-07 14:56:12	26.6	20.4	
27	2025-04-07 14:56:22	26.7	20.7	
28	2025-04-07 14:56:32	26.7	21.7	
29	2025-04-07 14:56:42	26.8	20.9	
30	2025-04-07 14:56:52	26.8	20.5	
31	2025-04-07 14:57:02	26.9	20.1	
32	2025-04-07 14:57:12	26.9	20.5	
33	2025-04-07 14:57:22	26.9	20.9	
34	2025-04-07 14:57:32	27.0	20.8	
35	2025-04-07 14:57:42	27.0	20.4	
36	2025-04-07 14:57:52	27.1	20.8	
37	2025-04-07 14:58:02	27.1	20.3	
38	2025-04-07 14:58:12	27.1	19.4	
39	2025-04-07 14:58:22	27.2	19.4	
40	2025-04-07 14:58:32	27.2	20.2	
41	2025-04-07 14:58:42	27.3	19.4	
42	2025-04-07 14:58:52	27.3	20.8	
43	2025-04-07 14:59:02	27.4	19.8	
44	2025-04-07 14:59:12	27.5	20.6	
45	2025-04-07 14:59:22	27.5	20.8	
46	2025-04-07 14:59:32	27.7	20.5	
47	2025-04-07 14:59:42	27.6	19.6	
48	2025-04-07 14:59:52	27.5	19.3	
49	2025-04-07 15:00:02	27.6	19.8	
50	2025-04-07 15:00:12	27.7	20.2	
51	2025-04-07 15:00:22	27.8	19.0	
52	2025-04-07 15:00:32	27.8	19.6	
53	2025-04-07 15:00:42	27.8	18.9	
54	2025-04-07 15:00:52	27.8	20.0	
55	2025-04-07 15:01:02	27.9	19.6	
56	2025-04-07 15:01:12	27.9	19.2	
57	2025-04-07 15:01:22	27.9	18.6	
58	2025-04-07 15:01:32	27.9	19.3	
59	2025-04-07 15:01:42	28.0	20.2	
60	2025-04-07 15:01:52	28.0	20.2	
