                                        Data Report
                                                                  File created on:2025-04-07 18:11:51

Model : RC-51H
S/N : EL2410001980
Firmware Version : V2.3
Trip Code : 0000001
Trip Description : Temperature recording.                                                                             
Start Mode : Press Button 
Logging Interval : 0:0:10
Start Delay : 0H0M
Repeat Start : Enable
Timezone : UTC +00:00
Stop Mode : Button Stop + Use Software
Light : Disable
Alarm Logging Interval Shorten : N/A
Mark Time : 
    N/A
First Reading : 2025-04-07 14:50:01
Last Reading : 2025-04-07 15:10:11
Current Readings : 122
Logging Duration : 0D 0H 20M 10S
Maximum : 25.5°C / 41.9%RH
Minimum : 20.6°C / 18.7%RH
Average : 22.2°C / 22.7%RH
Mean Kinetic Temperature (MKT) : 22.3°C
First Alarm(Temperature) : N/A
First Alarm(Humidity) : N/A

No.	Time		°C	%RH
1	2025-04-07 14:50:01	24.3	41.9	
2	2025-04-07 14:50:11	24.7	27.4	
3	2025-04-07 14:50:21	25.2	19.4	
4	2025-04-07 14:50:31	25.5	18.9	
5	2025-04-07 14:50:41	23.3	19.7	
6	2025-04-07 14:50:51	23.9	25.9	
7	2025-04-07 14:51:01	24.6	20.5	
8	2025-04-07 14:51:11	24.7	19.3	
9	2025-04-07 14:51:21	25.0	19.1	
10	2025-04-07 14:51:31	25.2	19.0	
11	2025-04-07 14:51:41	24.7	18.8	
12	2025-04-07 14:51:51	24.8	19.5	
13	2025-04-07 14:52:01	25.1	18.9	
14	2025-04-07 14:52:11	25.3	19.1	
15	2025-04-07 14:52:21	25.4	19.0	
16	2025-04-07 14:52:31	25.3	18.7	
17	2025-04-07 14:52:41	24.4	19.4	
18	2025-04-07 14:52:51	24.0	19.8	
19	2025-04-07 14:53:01	24.2	20.3	
20	2025-04-07 14:53:11	24.3	19.9	
21	2025-04-07 14:53:21	24.4	19.7	
22	2025-04-07 14:53:31	24.3	19.7	
23	2025-04-07 14:53:41	24.4	20.3	
24	2025-04-07 14:53:51	24.5	20.5	
25	2025-04-07 14:54:01	24.5	20.0	
26	2025-04-07 14:54:11	24.3	19.8	
27	2025-04-07 14:54:21	24.0	19.6	
28	2025-04-07 14:54:31	23.3	20.4	
29	2025-04-07 14:54:41	22.7	21.3	
30	2025-04-07 14:54:51	22.8	21.4	
31	2025-04-07 14:55:01	23.1	21.7	
32	2025-04-07 14:55:11	22.7	21.5	
33	2025-04-07 14:55:21	22.3	21.5	
34	2025-04-07 14:55:31	22.0	21.7	
35	2025-04-07 14:55:41	21.8	22.3	
36	2025-04-07 14:55:51	21.9	22.3	
37	2025-04-07 14:56:01	21.1	22.9	
38	2025-04-07 14:56:11	20.6	23.0	
39	2025-04-07 14:56:21	21.0	23.3	
40	2025-04-07 14:56:31	21.3	23.0	
41	2025-04-07 14:56:41	21.4	22.9	
42	2025-04-07 14:56:51	21.2	23.1	
43	2025-04-07 14:57:01	21.3	22.8	
44	2025-04-07 14:57:11	21.4	23.0	
45	2025-04-07 14:57:21	21.5	23.0	
46	2025-04-07 14:57:31	21.3	22.7	
47	2025-04-07 14:57:41	21.3	22.6	
48	2025-04-07 14:57:51	21.4	22.8	
49	2025-04-07 14:58:01	21.5	23.1	
50	2025-04-07 14:58:11	21.4	22.8	
51	2025-04-07 14:58:21	21.1	22.9	
52	2025-04-07 14:58:31	21.0	23.2	
53	2025-04-07 14:58:41	21.1	23.4	
54	2025-04-07 14:58:51	21.2	23.2	
55	2025-04-07 14:59:01	21.3	23.3	
56	2025-04-07 14:59:11	21.4	23.5	
57	2025-04-07 14:59:21	21.5	23.2	
58	2025-04-07 14:59:31	21.4	23.3	
59	2025-04-07 14:59:41	21.3	23.4	
60	2025-04-07 14:59:51	21.2	23.3	
61	2025-04-07 15:00:01	21.2	23.6	
62	2025-04-07 15:00:11	21.2	23.5	
63	2025-04-07 15:00:21	21.2	23.4	
64	2025-04-07 15:00:31	21.1	23.4	
65	2025-04-07 15:00:41	21.2	23.7	
66	2025-04-07 15:00:51	21.4	23.7	
67	2025-04-07 15:01:01	21.5	23.7	
68	2025-04-07 15:01:11	21.5	23.3	
69	2025-04-07 15:01:21	21.6	23.3	
70	2025-04-07 15:01:31	21.7	23.2	
71	2025-04-07 15:01:41	21.7	23.1	
72	2025-04-07 15:01:51	21.6	23.2	
73	2025-04-07 15:02:01	21.6	23.3	
74	2025-04-07 15:02:11	21.7	23.8	
75	2025-04-07 15:02:21	21.5	23.2	
76	2025-04-07 15:02:31	21.5	23.0	
77	2025-04-07 15:02:41	21.5	23.2	
78	2025-04-07 15:02:51	21.5	23.3	
79	2025-04-07 15:03:01	21.6	23.3	
80	2025-04-07 15:03:11	21.5	23.2	
81	2025-04-07 15:03:21	21.5	23.3	
82	2025-04-07 15:03:31	21.6	23.3	
83	2025-04-07 15:03:41	21.7	23.6	
84	2025-04-07 15:03:51	21.7	24.2	
85	2025-04-07 15:04:01	21.8	23.8	
86	2025-04-07 15:04:11	21.8	23.5	
87	2025-04-07 15:04:21	21.5	23.7	
88	2025-04-07 15:04:31	21.7	23.8	
89	2025-04-07 15:04:41	21.8	23.3	
90	2025-04-07 15:04:51	21.9	23.4	
91	2025-04-07 15:05:01	22.0	23.4	
92	2025-04-07 15:05:11	21.9	22.8	
93	2025-04-07 15:05:21	21.9	22.9	
94	2025-04-07 15:05:31	22.0	23.0	
95	2025-04-07 15:05:41	21.8	23.2	
96	2025-04-07 15:05:51	21.9	23.1	
97	2025-04-07 15:06:01	21.9	23.3	
98	2025-04-07 15:06:11	21.9	23.5	
99	2025-04-07 15:06:21	21.8	23.3	
100	2025-04-07 15:06:31	21.7	23.4	
101	2025-04-07 15:06:41	21.7	23.9	
102	2025-04-07 15:06:51	21.7	23.4	
103	2025-04-07 15:07:01	21.8	24.3	
104	2025-04-07 15:07:11	21.8	23.7	
105	2025-04-07 15:07:21	21.8	23.7	
106	2025-04-07 15:07:31	21.8	23.4	
107	2025-04-07 15:07:41	21.8	23.1	
108	2025-04-07 15:07:51	21.9	23.4	
109	2025-04-07 15:08:01	21.4	23.2	
110	2025-04-07 15:08:11	21.3	23.8	
111	2025-04-07 15:08:21	21.4	23.5	
112	2025-04-07 15:08:31	21.5	23.6	
113	2025-04-07 15:08:41	21.4	23.5	
114	2025-04-07 15:08:51	21.4	23.6	
115	2025-04-07 15:09:01	21.2	24.0	
116	2025-04-07 15:09:11	21.4	24.1	
117	2025-04-07 15:09:21	21.5	24.0	
118	2025-04-07 15:09:31	21.6	23.9	
119	2025-04-07 15:09:41	21.6	23.8	
120	2025-04-07 15:09:51	21.6	23.8	
121	2025-04-07 15:10:01	21.6	23.8	
122	2025-04-07 15:10:11	21.5	36.5	

